,M_CP008896,ME_CP008896,CP008896,M_CP053697,ME_CP053697,CP053697,M_CP026386,ME_CP026386,CP026386,M_CP069317,ME_CP069317,CP069317,M_AE004091.2,ME_AE004091.2,AE004091.2,M_pputida,ME_pputida,pputida,M_CP073105,ME_CP073105,CP073105,M_CP065866,ME_CP065866,CP065866,M_CP061848,ME_CP061848,CP061848,M_CP012831,ME_CP012831,CP012831,M_CP008749.1,ME_CP008749.1,CP008749.1,M_CP032419,ME_CP032419,CP032419,M_CP038001,ME_CP038001,CP038001,M_CP022560,ME_CP022560,CP022560,M_CP076683,ME_CP076683,CP076683,M_CP045416,ME_CP045416,CP045416,M_LS483372,ME_LS483372,LS483372,M_CP022562,ME_CP022562,CP022562,M_LR590473,ME_LR590473,LR590473,M_CP065865,ME_CP065865,CP065865,M_CP012830,ME_CP012830,CP012830,M_AP014655.1,ME_AP014655.1,AP014655.1,M_CP061335,ME_CP061335,CP061335,M_CP068238,ME_CP068238,CP068238,M_CP050291,ME_CP050291,CP050291,M_CP070982,ME_CP070982,CP070982,M_CP000712,ME_CP000712,CP000712,M_AP024503,ME_AP024503,AP024503,M_CP045349,ME_CP045349,CP045349,M_CP063780,ME_CP063780,CP063780,M_CP024478,ME_CP024478,CP024478,M_CP022561,ME_CP022561,CP022561,M_CP065867,ME_CP065867,CP065867,M_CP020100,ME_CP020100,CP020100,M_CP039749,ME_CP039749,CP039749,M_CP041013,ME_CP041013,CP041013,M_CP015225,ME_CP015225,CP015225,M_CP045359,ME_CP045359,CP045359,M_CP043320,ME_CP043320,CP043320,M_CP060288,ME_CP060288,CP060288,M_CP043179,ME_CP043179,CP043179
tRNA Charging,1.0,1.0,0.0,1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,2.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitamins &amp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porphyrin and chlorophyll metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucleotide Metabolism,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8895508870832337,1.0,0.11044911291676629,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Fatty Acid Synthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cysteine Metabolism,-0.22639487700820674,1.0,1.2263948770082067,-0.22639487700820685,1.0,1.226394877008207,-0.22639487700820676,1.0,1.2263948770082067,-0.22639487700820676,1.0,1.2263948770082067,-1.0,1.0,2.0,1.0,1.0,0.0,-0.22639487700820685,1.0,1.226394877008207,-1.0,1.0,2.0,-0.22639487700820676,1.0,1.2263948770082067,-0.22639487700820685,1.0,1.226394877008207,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-0.22639487700820676,1.0,1.2263948770082067,-0.22639487700820685,1.0,1.226394877008207,-0.22639487700820685,1.0,1.226394877008207,-1.0,1.0,2.0,-0.22639487700820676,1.0,1.2263948770082067,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-0.22639487700820674,1.0,1.2263948770082067,-0.22639487700820676,1.0,1.2263948770082067,-1.0,1.0,2.0,-0.22639487700820668,1.0,1.2263948770082067,-0.22639487700820676,1.0,1.2263948770082067,-0.22639487700820676,1.0,1.2263948770082067,-0.22639487700820685,1.0,1.226394877008207,-0.22639487700820685,1.0,1.226394877008207,-1.0,1.0,2.0,-0.22639487700820676,1.0,1.2263948770082067,-0.22639487700820676,1.0,1.2263948770082067,-1.0,1.0,2.0,-0.22639487700820676,1.0,1.2263948770082067,-1.0,1.0,2.0,-1.0,1.0,2.0,-0.22639487700820676,1.0,1.2263948770082067,-0.22639487700820685,1.0,1.226394877008207,-0.22639487700820676,1.0,1.2263948770082067,-0.22639487700820676,1.0,1.2263948770082067,-0.22639487700820676,1.0,1.2263948770082067
Murein Recycling,-1.0,-0.04432286351335136,0.9556771364866486,-0.9556771837905684,1.0,1.9556771837905684,0.17825759162177388,0.0,-0.17825759162177388,-0.3159114704957277,0.0,0.3159114704957277,0.2904731318326338,0.0,-0.2904731318326338,1.0,1.0,0.0,0.8148755136667123,0.0,-0.8148755136667123,0.5022557950428718,0.42857142857142866,-0.07368436647144311,0.9997607736651498,0.0,-0.9997607736651498,1.0,0.0,-1.0,-0.3502316654014515,-1.0,-0.6497683345985485,-1.0,0.0,1.0,0.41545518915076063,0.0,-0.41545518915076063,0.5825082128017424,0.0,-0.5825082128017424,-1.0,0.0,1.0,-0.9997407429733024,0.0,0.9997407429733024,0.0,0.0,0.0,0.27109449283995535,0.0,-0.27109449283995535,-0.5285416543959786,0.0,0.5285416543959786,-0.7142927962318414,0.0,0.7142927962318414,-0.9999746870203504,0.0,0.9999746870203504,0.0,0.0,0.0,0.4394778292366973,0.9718633636820383,0.532385534445341,0.9051308681342394,0.0,-0.9051308681342394,-0.3825968507879603,0.0,0.3825968507879603,0.9999973063496009,0.0,-0.9999973063496009,0.6068007955264336,0.0,-0.6068007955264336,0.6678960145092041,0.0,-0.6678960145092041,-0.999998752684764,0.0,0.999998752684764,-0.6837837647205178,0.0,0.6837837647205178,-0.7138534529903373,0.0,0.7138534529903373,0.5924571730030705,0.0,-0.5924571730030705,-0.6578171835975365,0.0,0.6578171835975365,0.0,1.0,1.0,0.42707148945413587,0.0,-0.42707148945413587,0.42707148945413587,1.0,0.5729285105458641,-0.9999898994432813,-1.0,-1.010055671868404e-05,-0.999998752684764,0.0,0.999998752684764,-1.0,0.0,1.0,-1.0,0.0,1.0,0.9999400230859489,0.0,-0.9999400230859489
Purine Metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyruvate Metabolism,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.07983825948995184,1.0,0.9201617405100482,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
NAD Metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
